No.,Time,Source,Destination,Protocol,Length,Info,Frame Type,Frame Control Field
10430,2369.789187,00:0b:57:4d:78:5e:1d:0c,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10431,2369.794311,00:13:a2:c6:72:fe:2f:ce,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10432,2369.845949,00:13:a2:c6:72:fe:2f:ce,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10433,2369.850936,00:a0:50:fb:a3:42:58:88,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10434,2369.902707,00:a0:50:fb:a3:42:58:88,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10435,2369.907809,00:30:66:7b:d2:aa:e5:b0,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10436,2369.959945,00:30:66:7b:d2:aa:e5:b0,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10437,2369.964952,00:04:25:3b:78:f1:20:6e,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10438,2370.016607,00:04:25:3b:78:f1:20:6e,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10439,2370.021607,00:0b:57:71:ed:ad:e5:6f,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10440,2370.072977,00:0b:57:71:ed:ad:e5:6f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10441,2370.078103,00:21:ed:c2:48:02:c8:91,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10442,2370.129988,00:21:ed:c2:48:02:c8:91,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10443,2370.134958,00:0b:57:2b:8f:ac:b7:f5,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10444,2370.186623,00:0b:57:2b:8f:ac:b7:f5,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10445,2370.191558,00:13:a2:dc:69:1a:95:e3,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10446,2370.243182,00:13:a2:dc:69:1a:95:e3,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10447,2370.248313,00:0b:57:f7:8f:49:7c:5f,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10448,2370.300206,00:0b:57:f7:8f:49:7c:5f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10449,2370.306306,00:12:4b:a9:5d:ec:d7:32,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10450,2370.357687,00:12:4b:a9:5d:ec:d7:32,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10451,2370.362687,00:21:ed:94:26:50:57:ee,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10452,2370.414328,00:21:ed:94:26:50:57:ee,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10453,2370.419305,00:04:25:15:7e:58:92:ee,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10454,2370.470889,00:04:25:15:7e:58:92:ee,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10455,2370.475849,00:04:25:48:80:12:5c:89,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10456,2370.527338,00:04:25:48:80:12:5c:89,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10457,2370.532336,00:30:66:4b:96:9e:aa:90,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10458,2370.58381,00:30:66:4b:96:9e:aa:90,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10459,2370.588849,00:21:ed:ee:90:57:d7:3d,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10460,2370.597102,0x6564,0x6f6e,ZigBee,50,Unknown Command,0x00000001,0x00008861
10461,2370.597592,,,IEEE 802.15.4,5,Ack,0x00000002,0x00000002
10462,2370.640225,00:21:ed:ee:90:57:d7:3d,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10463,2370.645159,00:30:66:ba:c0:d9:c6:8f,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
10464,2370.697044,00:30:66:ba:c0:d9:c6:8f,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10465,2370.701847,00:a0:50:a3:7c:94:35:50,0x0000,IEEE 802.15.4,22,"Association Request, FFD",0x00000003,0x0000c823
10466,2370.753577,00:a0:50:a3:7c:94:35:50,0x0000,IEEE 802.15.4,18,Data Request,0x00000003,0x0000c863
10467,2370.758481,00:04:a3:51:a2:01:ae:73,0x0000,IEEE 802.15.4,22,"Association Request, RFD",0x00000003,0x0000c823
